Team,Sport,Total_Medals,Country_Total
South Korea,Table Tennis,17,586
South Korea,Taekwondo,19,586
South Korea,Tennis,0,586
South Korea,Trampolining,0,586
South Korea,Triathlon,0,586
South Korea,Volleyball,12,586
South Korea,Water Polo,0,586
South Korea,Weightlifting,9,586
South Korea,Wrestling,36,586
Soviet Union,Alpine Skiing,0,2128
Soviet Union,Archery,7,2128
Soviet Union,Athletics,197,2128
Soviet Union,Badminton,0,2128
Soviet Union,Baseball,0,2128
Soviet Union,Basketball,120,2128
Soviet Union,Beach Volleyball,0,2128
Soviet Union,Biathlon,37,2128
Soviet Union,Bobsleigh,0,2128
Soviet Union,Boxing,39,2128
Soviet Union,Canoeing,76,2128
Soviet Union,Cross Country Skiing,99,2128
Soviet Union,Curling,0,2128
Soviet Union,Cycling,53,2128
Soviet Union,Diving,14,2128
Soviet Union,Equestrianism,29,2128
Soviet Union,Fencing,140,2128
Soviet Union,Figure Skating,4,2128
Soviet Union,Football,69,2128
Soviet Union,Freestyle Skiing,0,2128
Soviet Union,Golf,0,2128
Soviet Union,Gymnastics,207,2128
Soviet Union,Handball,84,2128
Soviet Union,Hockey,32,2128
Soviet Union,Ice Hockey,151,2128
Soviet Union,Judo,23,2128
Soviet Union,Luge,5,2128
Soviet Union,Modern Pentathlon,24,2128
Soviet Union,Nordic Combined,3,2128
Soviet Union,Rhythmic Gymnastics,2,2128
Soviet Union,Rowing,135,2128
Soviet Union,Rugby Sevens,0,2128
Soviet Union,Sailing,18,2128
Soviet Union,Shooting,37,2128
Soviet Union,Short Track Speed Skating,0,2128
Soviet Union,Skeleton,0,2128
Soviet Union,Ski Jumping,1,2128
Soviet Union,Snowboarding,0,2128
Soviet Union,Softball,0,2128
Soviet Union,Speed Skating,53,2128
Soviet Union,Swimming,119,2128
Soviet Union,Synchronized Swimming,0,2128
Soviet Union,Table Tennis,0,2128
Soviet Union,Taekwondo,0,2128
Soviet Union,Tennis,0,2128
Soviet Union,Trampolining,0,2128
Soviet Union,Triathlon,0,2128
Soviet Union,Volleyball,141,2128
Soviet Union,Water Polo,68,2128
Soviet Union,Weightlifting,48,2128
Soviet Union,Wrestling,93,2128
Spain,Alpine Skiing,2,450
Spain,Archery,3,450
Spain,Athletics,14,450
Spain,Badminton,1,450
Spain,Baseball,0,450
Spain,Basketball,60,450
Spain,Beach Volleyball,2,450
Spain,Biathlon,0,450
Spain,Bobsleigh,0,450
Spain,Boxing,4,450
Spain,Canoeing,24,450
Spain,Cross Country Skiing,0,450
Spain,Curling,0,450
Spain,Cycling,19,450
Spain,Diving,0,450
Spain,Equestrianism,5,450
Spain,Fencing,1,450
Spain,Figure Skating,0,450
Spain,Football,34,450
Spain,Freestyle Skiing,0,450
Spain,Golf,0,450
Spain,Gymnastics,4,450
Spain,Handball,60,450
Spain,Hockey,77,450
Spain,Ice Hockey,0,450
Spain,Judo,6,450
Spain,Luge,0,450
Spain,Modern Pentathlon,0,450
Spain,Nordic Combined,0,450
Spain,Rhythmic Gymnastics,12,450
Spain,Rowing,2,450
Spain,Rugby Sevens,0,450
Spain,Sailing,32,450
Spain,Shooting,2,450
Spain,Short Track Speed Skating,0,450
Spain,Skeleton,0,450
Spain,Ski Jumping,0,450
Spain,Snowboarding,0,450
Spain,Softball,0,450
Spain,Speed Skating,0,450
Spain,Swimming,8,450
Spain,Synchronized Swimming,20,450
Spain,Table Tennis,0,450
Spain,Taekwondo,6,450
Spain,Tennis,13,450
Spain,Trampolining,0,450
Spain,Triathlon,1,450
Spain,Volleyball,0,450
Spain,Water Polo,36,450
Spain,Weightlifting,1,450
Spain,Wrestling,1,450
Sweden,Alpine Skiing,15,632
Sweden,Archery,2,632
Sweden,Athletics,14,632
Sweden,Badminton,0,632
Sweden,Baseball,0,632
Sweden,Basketball,0,632
Sweden,Beach Volleyball,0,632
Sweden,Biathlon,16,632
Sweden,Bobsleigh,0,632
Sweden,Boxing,3,632
Sweden,Canoeing,39,632
