"Name","Sex","Age","Height","Weight","Team","Year","Sport","Medal","BMI"
"Sylvia Shaqueria Fowles","F",26,198,90,"United States",2012,"Basketball","Gold",22.9568411386593
"Sylvia Shaqueria Fowles","F",30,198,90,"United States",2016,"Basketball","Gold",22.9568411386593
"Catherine Mai-Lan Fox","F",18,162,54,"United States",1996,"Swimming","Gold",20.5761316872428
"Catherine Mai-Lan Fox","F",18,162,54,"United States",1996,"Swimming","Gold",20.5761316872428
"David Ashley Fox","M",25,190,77,"United States",1996,"Swimming","Gold",21.3296398891967
"Francine Anne Fox","F",15,170,66,"United States",1964,"Canoeing","Silver",22.8373702422145
"Jessica Esther ""Jess"" Fox","F",18,166,60,"Australia",2012,"Canoeing","Silver",21.7738423573813
"Jessica Esther ""Jess"" Fox","F",22,166,60,"Australia",2016,"Canoeing","Bronze",21.7738423573813
"Jeremy Robert ""Jim"" Fox","M",34,188,83,"Great Britain",1976,"Modern Pentathlon","Gold",23.4834766862834
"Joanne Kylie Fox","F",21,182,72,"Australia",2000,"Water Polo","Gold",21.7365052529888
"Ruby Ellen Fox","F",38,172,68,"United States",1984,"Shooting","Silver",22.9853975121687
"William Speed Lane Fox-Pitt","M",35,196,80,"Great Britain",2004,"Equestrianism","Silver",20.8246563931695
"William Speed Lane Fox-Pitt","M",39,196,80,"Great Britain",2008,"Equestrianism","Bronze",20.8246563931695
"William Speed Lane Fox-Pitt","M",43,196,80,"Great Britain",2012,"Equestrianism","Silver",20.8246563931695
"Jochen Fraatz","M",21,186,87,"West Germany",1984,"Handball","Silver",25.1474158862296
"Marit Malm Frafjord","F",22,182,78,"Norway",2008,"Handball","Gold",23.5478806907378
"Marit Malm Frafjord","F",26,182,78,"Norway",2012,"Handball","Gold",23.5478806907378
"Marit Malm Frafjord","F",30,182,78,"Norway",2016,"Handball","Bronze",23.5478806907378
"Javier Alberto Frana Maggi","M",25,183,74,"Argentina",1992,"Tennis","Bronze",22.096807907074
"Nicola Franceschina","M",24,172,71,"Italy",2002,"Short Track Speed Skating","Silver",23.9994591671174
"Igor Franceti","M",23,195,90,"Croatia",2000,"Rowing","Bronze",23.6686390532544
"Mirka Francia Vasconcelos","F",25,182,78,"Cuba",2000,"Volleyball","Gold",23.5478806907378
"Zsuzsanna ""Susan"" Francia","F",25,188,80,"United States",2008,"Rowing","Gold",22.6346763241286
"Zsuzsanna ""Susan"" Francia","F",29,188,80,"United States",2012,"Rowing","Gold",22.6346763241286
"Francielle Manoel Alberto","F",18,161,61,"Brazil",2008,"Football","Silver",23.5330427066857
"Javon Francis","M",21,183,68,"Jamaica",2016,"Athletics","Silver",20.3051748335274
"Phyllis Chanez Francis","F",24,180,72,"United States",2016,"Athletics","Gold",22.2222222222222
"Daniel Franck","M",23,169,66,"Norway",1998,"Snowboarding","Silver",23.1084345786212
"Lars Gunnar Martin Frndesj","M",25,196,94,"Sweden",1996,"Handball","Silver",24.4689712619742
"Lars Gunnar Martin Frndesj","M",29,196,94,"Sweden",2000,"Handball","Silver",24.4689712619742
"Scott Frandsen","M",28,188,86,"Canada",2008,"Rowing","Silver",24.3322770484382
"Jn Franek","M",20,177,71,"Czechoslovakia",1980,"Boxing","Bronze",22.662708672476
"Michele Frangilli","M",20,181,110,"Italy",1996,"Archery","Bronze",33.576508653582
"Michele Frangilli","M",24,181,110,"Italy",2000,"Archery","Silver",33.576508653582
"Michele Frangilli","M",36,181,110,"Italy",2012,"Archery","Gold",33.576508653582
"Antje Frank","F",24,181,76,"Germany",1992,"Rowing","Bronze",23.1983150697476
"Gert Frank","M",20,176,71,"Denmark",1976,"Cycling","Bronze",22.9209710743802
"Jacqueline Frank (-DeLuca)","F",24,180,72,"United States",2004,"Water Polo","Bronze",22.2222222222222
"Tanja Chiara Frank","F",23,167,57,"Austria",2016,"Sailing","Bronze",20.4381655849977
"Tobias Frank","M",26,178,73,"West Germany",1984,"Hockey","Silver",23.0400201994698
"Tobias Frank","M",30,178,73,"West Germany",1988,"Hockey","Silver",23.0400201994698
"Egon Johann Franke","M",28,178,70,"Poland",1964,"Fencing","Gold",22.0931700542861
"Egon Johann Franke","M",28,178,70,"Poland",1964,"Fencing","Silver",22.0931700542861
"Egon Johann Franke","M",32,178,70,"Poland",1968,"Fencing","Bronze",22.0931700542861
"Melissa Jeanette ""Missy"" Franklin","F",17,188,77,"United States",2012,"Swimming","Bronze",21.7858759619737
"Melissa Jeanette ""Missy"" Franklin","F",17,188,77,"United States",2012,"Swimming","Gold",21.7858759619737
"Melissa Jeanette ""Missy"" Franklin","F",17,188,77,"United States",2012,"Swimming","Gold",21.7858759619737
"Melissa Jeanette ""Missy"" Franklin","F",17,188,77,"United States",2012,"Swimming","Gold",21.7858759619737
"Melissa Jeanette ""Missy"" Franklin","F",17,188,77,"United States",2012,"Swimming","Gold",21.7858759619737
"Melissa Jeanette ""Missy"" Franklin","F",21,188,77,"United States",2016,"Swimming","Gold",21.7858759619737
"Ryan Ray Franklin","M",27,190,75,"United States",2000,"Baseball","Gold",20.7756232686981
"Jure Franko","M",21,183,79,"Yugoslavia",1984,"Alpine Skiing","Silver",23.5898354683627
"Tihomir Frankovi","M",29,192,96,"Croatia",2000,"Rowing","Bronze",26.0416666666667
"Valner Frankovi","M",28,NA,NA,"Croatia",1996,"Handball","Gold",NA
